Date,open,high,low,close,volume
2024-08-29 04:00:00,230.1,232.92,228.88,229.79,51072782.0
2024-08-30 04:00:00,230.19,230.4,227.48,229.0,50340308.0
2024-09-03 04:00:00,228.55,229.0,221.17,222.77,49286866.0
2024-09-04 04:00:00,221.66,221.78,217.48,220.85,42699700.0
2024-09-05 04:00:00,221.625,225.48,221.52,222.38,34772036.0
2024-09-06 04:00:00,223.95,225.24,219.77,220.82,45965359.0
2024-09-09 04:00:00,220.82,221.27,216.71,220.91,65865433.0
2024-09-10 04:00:00,218.92,221.48,216.73,220.11,51131372.0
2024-09-11 04:00:00,221.455,223.09,217.89,222.66,42551999.0
2024-09-12 04:00:00,222.5,223.55,219.82,222.77,36818998.0
2024-09-13 04:00:00,223.58,224.04,221.91,222.5,36462779.0
2024-09-16 04:00:00,216.54,217.22,213.92,216.32,58316431.0
2024-09-17 04:00:00,215.75,216.9,214.5,216.79,44001409.0
2024-09-18 04:00:00,217.55,222.71,217.54,220.69,59023399.0
2024-09-19 04:00:00,224.99,229.82,224.63,228.87,65015591.0
2024-09-20 04:00:00,229.97,233.09,227.62,228.2,278588717.0
2024-09-23 04:00:00,227.34,229.45,225.81,226.47,50709047.0
2024-09-24 04:00:00,228.645,229.35,225.73,227.37,41499749.0
2024-09-25 04:00:00,224.93,227.29,224.02,226.37,39976689.0
2024-09-26 04:00:00,227.3,228.5,225.41,227.52,34812774.0
2024-09-27 04:00:00,228.46,229.52,227.3,227.79,31421839.0
2024-09-30 04:00:00,230.04,233.0,229.65,233.0,52877673.0
2024-10-01 04:00:00,229.52,229.65,223.74,226.21,59761880.0
2024-10-02 04:00:00,225.89,227.37,223.02,226.78,31929459.0
2024-10-03 04:00:00,225.14,226.805,223.32,225.67,32633355.0
2024-10-04 04:00:00,227.9,228.0,224.13,226.8,35647254.0
2024-10-07 04:00:00,224.5,225.69,221.33,221.69,37595470.0
2024-10-08 04:00:00,224.3,225.98,223.25,225.77,30387437.0
2024-10-09 04:00:00,225.23,229.75,224.83,229.54,31586075.0
2024-10-10 04:00:00,227.78,229.5,227.17,229.04,27135650.0
2024-10-11 04:00:00,229.3,229.41,227.34,227.55,30412936.0
2024-10-14 04:00:00,228.7,231.73,228.6,231.3,34386471.0
2024-10-15 04:00:00,233.61,237.49,232.37,233.85,60799239.0
2024-10-16 04:00:00,231.6,232.12,229.84,231.78,33354125.0
2024-10-17 04:00:00,233.43,233.85,230.52,232.15,29019084.0
2024-10-18 04:00:00,236.18,236.18,234.01,235.0,43643976.0
2024-10-21 04:00:00,234.45,236.85,234.45,236.48,34128130.0
2024-10-22 04:00:00,233.885,236.22,232.6,235.86,35412947.0
2024-10-23 04:00:00,234.08,235.144,227.76,230.76,51447561.0
2024-10-24 04:00:00,229.98,230.82,228.41,230.57,28895111.0
2024-10-25 04:00:00,229.74,233.22,229.57,231.41,36791251.0
2024-10-28 04:00:00,233.32,234.73,232.55,233.4,32964281.0
2024-10-29 04:00:00,233.1,234.325,232.32,233.67,31895656.0
